f1,f2,f3,f4,f5,label
0.0680823834924403,0.2757774944293684,0.4148271981407848,0.8519801599789889,0.5921041703280069,0
0.8863359029551101,0.788832644976645,0.3152025703167206,0.4776890420997718,0.1823262437786813,1
0.8753693098257457,0.7805157799755877,0.519465874598365,0.2945064198885204,0.6390844263736001,1
0.258473545097389,0.2016076109030812,0.962586234460978,0.354171167843629,0.7582548683424251,1
0.0036321974942127,0.6089282695230067,0.4679498255475499,0.5844340093439448,0.2480475334423995,0
0.8668018949794409,0.7260019421567158,0.3108376839147226,0.6647507504223258,0.1246938986904312,1
0.1364026683614138,0.6887605091462963,0.2182856718402479,0.5717571255870665,0.4284859520466978,0
0.5301274814994446,0.0269638019128297,0.86385968988775,0.8975642331644847,0.0677446054237691,0
0.1509774486793945,0.6465789562560698,0.4756942805241411,0.7238135808685783,0.1673945631749788,0
0.95636042570765,0.9471235519143256,0.4647855733568555,0.687890494986134,0.1253131657995614,1
0.969273225841214,0.33993667880053,0.989619465558066,0.7355842713962757,0.5829310653690054,0
0.3915432746244118,0.2210560802421035,0.5326162985728076,0.8407327162685204,0.4936589008113283,1
0.590342548253202,0.0489062984770752,0.6274888316276497,0.3122004932703712,0.4848162089266767,1
0.1592106922479568,0.499323961489483,0.5326907594915226,0.7586575243502106,0.7686167362847399,0
0.0755731909388642,0.446199914649235,0.8901873875256806,0.1401676004780738,0.3807779457681095,1
0.2535115776184373,0.2722905780620741,0.198272035446091,0.433436834278866,0.2146784103954352,0
0.6481890504381848,0.200170783385664,0.546905021010152,0.1087853015396101,0.68791488874173,1
0.3147528411590711,0.9107127770275488,0.0940289277443143,0.1059603543951736,0.9863634855371576,0
0.0152875810057737,0.9126410043697653,0.9504125444680572,0.4560710008270935,0.3016183750334805,1
0.651205554265934,0.4453121745865723,0.1731453825059975,0.7368864631196563,0.4189119706437574,1
0.2749504583498808,0.8438002393362392,0.4293668550678172,0.2869458890319366,0.785438900282305,0
0.205358461430677,0.4459743869618781,0.9899178281260648,0.693992706251462,0.2120599136605774,1
0.1778405385631661,0.9664238626503874,0.5240670445571395,0.5365581313319542,0.0981431850272888,0
0.9999882596967508,0.5591746707645988,0.3747853138368254,0.6047088227708344,0.6360405706202796,0
0.3481928947177152,0.6491971005531674,0.121201578001359,0.5749142231032205,0.0663824735739081,0
0.8061110876667335,0.8352292941216762,0.1856748877708443,0.1241374111245529,0.6276855567219913,1
0.5242547311229092,0.7815231432066223,0.0465290456672646,0.3633367586900968,0.5064300404310469,0
0.7697008357186035,0.1137395304024603,0.9340993692067016,0.4358898561194643,0.7024733916820134,1
0.4017301692571333,0.8606773500157268,0.7283017626435868,0.0865902559639679,0.4291963089229388,1
0.6843277779044271,0.4892980011052642,0.9216193284516602,0.3365664625407322,0.8266925850380406,1
0.0048238767750248,0.6144755246276267,0.8216257708005628,0.4507152915379406,0.3234354734048464,1
0.2479806742931521,0.5043468503169106,0.3052970778805456,0.6583134180420452,0.4273161811292263,0
0.8246268720166421,0.8785526939441971,0.9463250575128772,0.6987509409838245,0.4454084696826209,1
0.1161699572915326,0.9563317185717084,0.0377070325122348,0.6465728889070572,0.3646833495610664,0
0.980236755953069,0.9868948463703612,0.1560287606485305,0.4075638597017355,0.8065811095929629,1
0.8770128762773289,0.6646053674324823,0.7847404118379996,0.9739210413207632,0.5655244959348088,1
0.7346647432580098,0.6692675093061841,0.8740422928505144,0.3538094919550372,0.8730567438881215,1
0.9364320922591468,0.9538066467418824,0.8970865104319938,0.7397713933862166,0.7112723279717043,1
0.503266973180699,0.1210987343643635,0.4875591312886401,0.7238921308800901,0.3795557824639066,1
0.1503680294742806,0.0566934845713211,0.4711327067175,0.2447222454189862,0.2855020126196879,0
0.1288999989903453,0.4394889115708946,0.6617271619742846,0.2844593978371742,0.1197567709862642,1
0.1077466837509861,0.0789665226611406,0.328495068696405,0.3078040026384654,0.6673933695754375,0
0.6660668061336454,0.6770640670408011,0.6970932027732994,0.6032452273253102,0.9190793170538948,1
0.0278896269650911,0.6172717762216324,0.4801221699732609,0.612151783274307,0.9538798592216984,0
0.302166057826017,0.1712763814409174,0.7373809998558578,0.8171111491612658,0.4841047215328277,0
0.6462880417424456,0.7183870314844376,0.032113037208726,0.7985222841015848,0.9749609439648362,0
0.7456632641757802,0.4994833520943945,0.6570778971841019,0.7129486899836717,0.6269877210780016,1
0.2453917434006129,0.9032076025302872,0.1657145927681241,0.8081437654048738,0.0865036601537339,1
0.9363293631117428,0.795309176783039,0.9391992790116525,0.8164818934055477,0.3855408753368248,1
0.3095659736612238,0.0230779806786601,0.2749151779734083,0.2185842285152035,0.9307842328130688,0
0.1262428558029658,0.3155879270255879,0.6664840376694502,0.3524906686577319,0.4223920231705848,0
0.0810268104870975,0.2175654814999762,0.216550803459149,0.3442759692514864,0.7062478698906947,0
0.166280120438059,0.6502323808868998,0.6197578902243179,0.3657367684956658,0.4759705913389521,0
0.7734269544320778,0.3917230355499363,0.247738791237071,0.950947079902342,0.9497469694230966,0
0.5461046350998998,0.9285710970705504,0.0483343287499422,0.3303239244680462,0.201378022759824,1
0.0224669388693244,0.7966736378963065,0.5269127012187506,0.1837578644226671,0.3110660131488454,0
